Date,Adj Close
1/1/2010,1169.430054
4/1/2010,1030.709961
7/1/2010,1141.199951
10/1/2010,1257.640015
1/1/2011,1325.829956
4/1/2011,1320.640015
7/1/2011,1131.420044
10/1/2011,1257.599976
1/1/2012,1408.469971
4/1/2012,1362.160034
7/1/2012,1440.670044
10/1/2012,1426.189941
1/1/2013,1569.189941
4/1/2013,1606.280029
7/1/2013,1681.550049
10/1/2013,1848.359985
1/1/2014,1872.339966
4/1/2014,1960.22998
7/1/2014,1972.290039
10/1/2014,2058.899902
1/1/2015,2067.889893
4/1/2015,2063.110107
7/1/2015,1920.030029
10/1/2015,2043.939941
1/1/2016,2059.73999
4/1/2016,2098.860107
7/1/2016,2168.27002
10/1/2016,2238.830078
1/1/2017,2362.719971
4/1/2017,2423.409912
7/1/2017,2519.360107
10/1/2017,2673.610107
1/1/2018,2640.870117
4/1/2018,2718.370117
7/1/2018,2913.97998
10/1/2018,2506.850098
1/1/2019,2834.399902
4/1/2019,2941.76001
7/1/2019,2976.73999
10/1/2019,3230.780029
1/1/2020,2584.590088
4/1/2020,3100.290039
7/1/2020,3363
10/1/2020,3756.070068
1/1/2021,3972.889893
4/1/2021,4297.5
7/1/2021,4307.540039
10/1/2021,4766.180176
1/1/2022,4530.410156
4/1/2022,3785.379883
7/1/2022,3585.620117
10/1/2022,3839.5
